timestamp,symbol,side,quantity,price,fee,realized_pnl,intent_id,fill_id
2024-01-26T13:00:00+00:00,BTC/USDT,BUY,0.002430,41160.580005,0.100020209412150,0,e48900e1-aa17-4927-9c1a-79755230e40f,8232a1a8-d229-44a6-8e80-08cfb8d17c2f
2024-02-01T06:00:00+00:00,BTC/USDT,SELL,0.002430,42135.42175,0.10238907485250,2.166456156085350,c074bb37-2bdb-4a98-835c-8f95451b0040,021c1c33-57b6-4d6b-8920-da9b13d4ae89
2024-02-01T20:00:00+00:00,BTC/USDT,BUY,0.002314,43240.549470,0.100058631473580,0,2ff6d07c-d408-4966-a78d-6ce56572382d,fcd7c84e-8004-4602-9f5e-d58d207e28f1
2024-02-04T22:00:00+00:00,BTC/USDT,SELL,0.002314,42758.580015,0.098943354154710,-1.314279304498290,d8b15535-32b3-4b24-8867-bfddff62ae28,9b4d16d5-e915-4f5e-8a31-8640300712c5
2024-02-05T12:00:00+00:00,BTC/USDT,BUY,0.002315,43215.677040,0.100044292347600,0,09a07a28-2dff-4c6d-a50f-ed8bdc354f6a,224a0b58-9be2-4d74-9cb0-4ec4ca1dcb32
2024-02-05T21:00:00+00:00,BTC/USDT,SELL,0.002315,42404.78700,0.09816708190500,-2.075421816852600,ea22f7ad-2a56-4690-96a8-d40a479062bc,8aedf5c0-195f-4626-8808-afe0b37c7911
2024-02-06T16:00:00+00:00,BTC/USDT,BUY,0.002312,43266.512445,0.100032176772840,0,5e7a5b53-6aa8-464b-b98c-607fe7aaea68,a5c053b2-64cf-43bf-be25-7b19cac0379d
2024-02-21T12:00:00+00:00,BTC/USDT,SELL,0.002312,50940.047235,0.117773389207320,17.523406868499840,070ee5ae-c824-48b3-9188-2467029a8d16,727d3580-c316-4b56-ae05-d3534a587d22
2024-02-25T02:00:00+00:00,BTC/USDT,BUY,0.001937,51709.852005,0.100161983333685,0,0cee9886-aa74-4f18-8a73-0639c2d49fc5,46446aa1-8798-4940-867c-43a4ace802f7
2024-02-26T12:00:00+00:00,BTC/USDT,SELL,0.001937,51064.464995,0.098911868695315,-1.449188490399000,cfaab498-b77b-4382-a39f-52b0cc7bb49e,b56cd648-dab0-4431-9ce0-ea01bcd40f77
2024-02-26T16:00:00+00:00,BTC/USDT,BUY,0.001895,52868.751165,0.100186283457675,0,d7ca5e68-b94f-4456-8889-2650c79a12ef,c6b57323-cde4-483b-8984-e5101623e114
2024-03-15T04:00:00+00:00,BTC/USDT,SELL,0.001895,68189.897995,0.129219856700525,28.804167102691800,0efa27be-24c0-4ce9-9dde-bbb1bbf17bf7,ac45d487-4db9-4017-bf48-ad10180701bb
2024-03-21T05:00:00+00:00,BTC/USDT,BUY,0.001505,66753.349995,0.100463791742475,0,eeb5d98e-7666-4b55-b47d-5ae521d2111a,0dc9b0d0-dfa9-4546-9a39-375f0ec60367
2024-03-22T00:00:00+00:00,BTC/USDT,SELL,0.001505,65468.529360,0.098530136686800,-2.132648984104275,14b83c06-2187-4e51-962e-9cbd3953bc13,7685ba25-ed01-43b2-9859-7ceb535172e5
2024-03-22T08:00:00+00:00,BTC/USDT,BUY,0.001517,66211.099005,0.100442237190585,0,0df74d8a-d238-443e-b675-5e5bd45bbc82,861b0da1-e4c4-4eb6-b9a6-45fbdd67d630
